volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.1,1746097200000,ok,0.046,0.046,0.046,0.0046,0.046,2025-05-01 11:00:00,BTC-23MAY25-96000-C
0.0,1746100800000,ok,0.046,0.046,0.046,0.0,0.046,2025-05-01 12:00:00,BTC-23MAY25-96000-C
0.9,1746104400000,ok,0.045,0.044,0.045,0.0404,0.044,2025-05-01 13:00:00,BTC-23MAY25-96000-C
0.0,1746108000000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 14:00:00,BTC-23MAY25-96000-C
0.0,1746111600000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 15:00:00,BTC-23MAY25-96000-C
0.0,1746115200000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 16:00:00,BTC-23MAY25-96000-C
0.0,1746118800000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 17:00:00,BTC-23MAY25-96000-C
0.0,1746122400000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 18:00:00,BTC-23MAY25-96000-C
0.0,1746126000000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 19:00:00,BTC-23MAY25-96000-C
0.0,1746129600000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 20:00:00,BTC-23MAY25-96000-C
0.0,1746133200000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 21:00:00,BTC-23MAY25-96000-C
0.0,1746136800000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 22:00:00,BTC-23MAY25-96000-C
0.0,1746140400000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-01 23:00:00,BTC-23MAY25-96000-C
0.0,1746144000000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 00:00:00,BTC-23MAY25-96000-C
0.0,1746147600000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 01:00:00,BTC-23MAY25-96000-C
0.0,1746151200000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 02:00:00,BTC-23MAY25-96000-C
0.0,1746154800000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 03:00:00,BTC-23MAY25-96000-C
0.0,1746158400000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 04:00:00,BTC-23MAY25-96000-C
0.0,1746162000000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 05:00:00,BTC-23MAY25-96000-C
0.0,1746165600000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 06:00:00,BTC-23MAY25-96000-C
0.0,1746169200000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-02 07:00:00,BTC-23MAY25-96000-C
0.1,1746172800000,ok,0.046,0.046,0.046,0.0046,0.046,2025-05-02 08:00:00,BTC-23MAY25-96000-C
0.0,1746176400000,ok,0.046,0.046,0.046,0.0,0.046,2025-05-02 09:00:00,BTC-23MAY25-96000-C
0.0,1746180000000,ok,0.046,0.046,0.046,0.0,0.046,2025-05-02 10:00:00,BTC-23MAY25-96000-C
6.9,1746183600000,ok,0.049,0.048,0.049,0.338,0.048,2025-05-02 11:00:00,BTC-23MAY25-96000-C
0.0,1746187200000,ok,0.048,0.048,0.048,0.0,0.048,2025-05-02 12:00:00,BTC-23MAY25-96000-C
0.1,1746190800000,ok,0.047,0.047,0.047,0.0047,0.047,2025-05-02 13:00:00,BTC-23MAY25-96000-C
0.0,1746194400000,ok,0.047,0.047,0.047,0.0,0.047,2025-05-02 14:00:00,BTC-23MAY25-96000-C
0.2,1746198000000,ok,0.0505,0.0505,0.0505,0.0101,0.0505,2025-05-02 15:00:00,BTC-23MAY25-96000-C
0.0,1746201600000,ok,0.0505,0.0505,0.0505,0.0,0.0505,2025-05-02 16:00:00,BTC-23MAY25-96000-C
0.0,1746205200000,ok,0.0505,0.0505,0.0505,0.0,0.0505,2025-05-02 17:00:00,BTC-23MAY25-96000-C
0.0,1746208800000,ok,0.0505,0.0505,0.0505,0.0,0.0505,2025-05-02 18:00:00,BTC-23MAY25-96000-C
0.0,1746212400000,ok,0.0505,0.0505,0.0505,0.0,0.0505,2025-05-02 19:00:00,BTC-23MAY25-96000-C
2.5,1746216000000,ok,0.0455,0.0455,0.0455,0.11375,0.0455,2025-05-02 20:00:00,BTC-23MAY25-96000-C
0.0,1746219600000,ok,0.0455,0.0455,0.0455,0.0,0.0455,2025-05-02 21:00:00,BTC-23MAY25-96000-C
0.0,1746223200000,ok,0.0455,0.0455,0.0455,0.0,0.0455,2025-05-02 22:00:00,BTC-23MAY25-96000-C
0.4,1746226800000,ok,0.044,0.044,0.044,0.0176,0.044,2025-05-02 23:00:00,BTC-23MAY25-96000-C
0.0,1746230400000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-03 00:00:00,BTC-23MAY25-96000-C
0.0,1746234000000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-03 01:00:00,BTC-23MAY25-96000-C
0.0,1746237600000,ok,0.044,0.044,0.044,0.0,0.044,2025-05-03 02:00:00,BTC-23MAY25-96000-C
