volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.1,1746162000000,ok,0.0805,0.0805,0.0805,0.00805,0.0805,2025-05-02 05:00:00,BTC-27JUN25-97000-C
0.0,1746165600000,ok,0.0805,0.0805,0.0805,0.0,0.0805,2025-05-02 06:00:00,BTC-27JUN25-97000-C
0.6,1746169200000,ok,0.077,0.077,0.077,0.0462,0.077,2025-05-02 07:00:00,BTC-27JUN25-97000-C
0.1,1746172800000,ok,0.077,0.077,0.077,0.0077,0.077,2025-05-02 08:00:00,BTC-27JUN25-97000-C
0.1,1746176400000,ok,0.0785,0.0785,0.0785,0.00785,0.0785,2025-05-02 09:00:00,BTC-27JUN25-97000-C
0.0,1746180000000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 10:00:00,BTC-27JUN25-97000-C
0.2,1746183600000,ok,0.0785,0.0785,0.0785,0.0157,0.0785,2025-05-02 11:00:00,BTC-27JUN25-97000-C
0.0,1746187200000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 12:00:00,BTC-27JUN25-97000-C
0.0,1746190800000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 13:00:00,BTC-27JUN25-97000-C
0.0,1746194400000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 14:00:00,BTC-27JUN25-97000-C
0.0,1746198000000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 15:00:00,BTC-27JUN25-97000-C
0.0,1746201600000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 16:00:00,BTC-27JUN25-97000-C
0.0,1746205200000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 17:00:00,BTC-27JUN25-97000-C
0.0,1746208800000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 18:00:00,BTC-27JUN25-97000-C
0.0,1746212400000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 19:00:00,BTC-27JUN25-97000-C
0.0,1746216000000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 20:00:00,BTC-27JUN25-97000-C
0.0,1746219600000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 21:00:00,BTC-27JUN25-97000-C
0.0,1746223200000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 22:00:00,BTC-27JUN25-97000-C
0.0,1746226800000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-02 23:00:00,BTC-27JUN25-97000-C
0.0,1746230400000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-03 00:00:00,BTC-27JUN25-97000-C
0.0,1746234000000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-03 01:00:00,BTC-27JUN25-97000-C
0.0,1746237600000,ok,0.0785,0.0785,0.0785,0.0,0.0785,2025-05-03 02:00:00,BTC-27JUN25-97000-C
0.6,1746241200000,ok,0.073,0.073,0.0735,0.0439,0.073,2025-05-03 03:00:00,BTC-27JUN25-97000-C
0.0,1746244800000,ok,0.073,0.073,0.073,0.0,0.073,2025-05-03 04:00:00,BTC-27JUN25-97000-C
0.0,1746248400000,ok,0.073,0.073,0.073,0.0,0.073,2025-05-03 05:00:00,BTC-27JUN25-97000-C
0.0,1746252000000,ok,0.073,0.073,0.073,0.0,0.073,2025-05-03 06:00:00,BTC-27JUN25-97000-C
0.2,1746255600000,ok,0.0735,0.0735,0.074,0.01475,0.074,2025-05-03 07:00:00,BTC-27JUN25-97000-C
