volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.1,1743994800000,ok,0.1,0.1,0.1,0.01,0.1,2025-04-07 03:00:00,BTC-27MAR26-65000-P
0.0,1743998400000,ok,0.1,0.1,0.1,0.0,0.1,2025-04-07 04:00:00,BTC-27MAR26-65000-P
0.0,1744002000000,ok,0.1,0.1,0.1,0.0,0.1,2025-04-07 05:00:00,BTC-27MAR26-65000-P
0.1,1744005600000,ok,0.115,0.115,0.115,0.0115,0.115,2025-04-07 06:00:00,BTC-27MAR26-65000-P
0.2,1744009200000,ok,0.1165,0.1165,0.1195,0.0236,0.1195,2025-04-07 07:00:00,BTC-27MAR26-65000-P
0.0,1744012800000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 08:00:00,BTC-27MAR26-65000-P
0.0,1744016400000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 09:00:00,BTC-27MAR26-65000-P
0.0,1744020000000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 10:00:00,BTC-27MAR26-65000-P
0.0,1744023600000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 11:00:00,BTC-27MAR26-65000-P
0.0,1744027200000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 12:00:00,BTC-27MAR26-65000-P
0.0,1744030800000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 13:00:00,BTC-27MAR26-65000-P
0.0,1744034400000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 14:00:00,BTC-27MAR26-65000-P
0.0,1744038000000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 15:00:00,BTC-27MAR26-65000-P
0.0,1744041600000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 16:00:00,BTC-27MAR26-65000-P
0.0,1744045200000,ok,0.1195,0.1195,0.1195,0.0,0.1195,2025-04-07 17:00:00,BTC-27MAR26-65000-P
0.4,1744048800000,ok,0.098,0.098,0.099,0.0394,0.099,2025-04-07 18:00:00,BTC-27MAR26-65000-P
0.0,1744052400000,ok,0.099,0.099,0.099,0.0,0.099,2025-04-07 19:00:00,BTC-27MAR26-65000-P
0.0,1744056000000,ok,0.099,0.099,0.099,0.0,0.099,2025-04-07 20:00:00,BTC-27MAR26-65000-P
0.0,1744059600000,ok,0.099,0.099,0.099,0.0,0.099,2025-04-07 21:00:00,BTC-27MAR26-65000-P
0.0,1744063200000,ok,0.099,0.099,0.099,0.0,0.099,2025-04-07 22:00:00,BTC-27MAR26-65000-P
1.3,1744066800000,ok,0.0975,0.0975,0.0975,0.12675,0.0975,2025-04-07 23:00:00,BTC-27MAR26-65000-P
