volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.1,1746266400000,ok,0.0006,0.0006,0.0006,6e-05,0.0006,2025-05-03 10:00:00,BTC-6MAY25-101000-C
1.0,1746270000000,ok,0.0006,0.0006,0.0006,0.0006,0.0006,2025-05-03 11:00:00,BTC-6MAY25-101000-C
0.0,1746273600000,ok,0.0006,0.0006,0.0006,0.0,0.0006,2025-05-03 12:00:00,BTC-6MAY25-101000-C
0.2,1746277200000,ok,0.0007,0.0007,0.0007,0.00014,0.0007,2025-05-03 13:00:00,BTC-6MAY25-101000-C
0.1,1746280800000,ok,0.0008,0.0008,0.0008,8e-05,0.0008,2025-05-03 14:00:00,BTC-6MAY25-101000-C
0.0,1746284400000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 15:00:00,BTC-6MAY25-101000-C
0.0,1746288000000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 16:00:00,BTC-6MAY25-101000-C
0.0,1746291600000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 17:00:00,BTC-6MAY25-101000-C
0.0,1746295200000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 18:00:00,BTC-6MAY25-101000-C
0.0,1746298800000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 19:00:00,BTC-6MAY25-101000-C
0.0,1746302400000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 20:00:00,BTC-6MAY25-101000-C
0.0,1746306000000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 21:00:00,BTC-6MAY25-101000-C
0.0,1746309600000,ok,0.0008,0.0008,0.0008,0.0,0.0008,2025-05-03 22:00:00,BTC-6MAY25-101000-C
2.9,1746313200000,ok,0.0005,0.0005,0.0005,0.00145,0.0005,2025-05-03 23:00:00,BTC-6MAY25-101000-C
0.0,1746316800000,ok,0.0005,0.0005,0.0005,0.0,0.0005,2025-05-04 00:00:00,BTC-6MAY25-101000-C
0.0,1746320400000,ok,0.0005,0.0005,0.0005,0.0,0.0005,2025-05-04 01:00:00,BTC-6MAY25-101000-C
3.0,1746324000000,ok,0.0009,0.0009,0.0009,0.0027,0.0009,2025-05-04 02:00:00,BTC-6MAY25-101000-C
0.0,1746327600000,ok,0.0009,0.0009,0.0009,0.0,0.0009,2025-05-04 03:00:00,BTC-6MAY25-101000-C
0.0,1746331200000,ok,0.0009,0.0009,0.0009,0.0,0.0009,2025-05-04 04:00:00,BTC-6MAY25-101000-C
0.0,1746334800000,ok,0.0009,0.0009,0.0009,0.0,0.0009,2025-05-04 05:00:00,BTC-6MAY25-101000-C
0.0,1746338400000,ok,0.0009,0.0009,0.0009,0.0,0.0009,2025-05-04 06:00:00,BTC-6MAY25-101000-C
0.0,1746342000000,ok,0.0009,0.0009,0.0009,0.0,0.0009,2025-05-04 07:00:00,BTC-6MAY25-101000-C
0.0,1746345600000,ok,0.0009,0.0009,0.0009,0.0,0.0009,2025-05-04 08:00:00,BTC-6MAY25-101000-C
