volume,ticks,status,open,low,high,cost,close,timestamp,instrument
1.0,1745323200000,ok,0.067,0.067,0.067,0.067,0.067,2025-04-22 12:00:00,BTC-9MAY25-93000-P
0.1,1745326800000,ok,0.061,0.061,0.061,0.0061,0.061,2025-04-22 13:00:00,BTC-9MAY25-93000-P
1.0,1745330400000,ok,0.061,0.061,0.061,0.0558,0.061,2025-04-22 14:00:00,BTC-9MAY25-93000-P
0.0,1745334000000,ok,0.061,0.061,0.061,0.0,0.061,2025-04-22 15:00:00,BTC-9MAY25-93000-P
0.0,1745337600000,ok,0.061,0.061,0.061,0.0,0.061,2025-04-22 16:00:00,BTC-9MAY25-93000-P
0.0,1745341200000,ok,0.061,0.061,0.061,0.0,0.061,2025-04-22 17:00:00,BTC-9MAY25-93000-P
7.5,1745344800000,ok,0.047,0.0465,0.047,0.35125,0.0465,2025-04-22 18:00:00,BTC-9MAY25-93000-P
1.0,1745348400000,ok,0.05,0.05,0.05,0.05,0.05,2025-04-22 19:00:00,BTC-9MAY25-93000-P
0.0,1745352000000,ok,0.05,0.05,0.05,0.0,0.05,2025-04-22 20:00:00,BTC-9MAY25-93000-P
6.4,1745355600000,ok,0.0375,0.0375,0.0405,0.256,0.04,2025-04-22 21:00:00,BTC-9MAY25-93000-P
4.1,1745359200000,ok,0.043,0.0405,0.043,0.1723,0.0405,2025-04-22 22:00:00,BTC-9MAY25-93000-P
1.0,1745362800000,ok,0.0395,0.038,0.0395,0.03935,0.038,2025-04-22 23:00:00,BTC-9MAY25-93000-P
0.8,1745366400000,ok,0.037,0.037,0.0415,0.03245,0.0415,2025-04-23 00:00:00,BTC-9MAY25-93000-P
1.4,1745370000000,ok,0.041,0.0405,0.041,0.05695,0.0405,2025-04-23 01:00:00,BTC-9MAY25-93000-P
4.8,1745373600000,ok,0.0405,0.04,0.0405,0.1933,0.0405,2025-04-23 02:00:00,BTC-9MAY25-93000-P
0.0,1745377200000,ok,0.0405,0.0405,0.0405,0.0,0.0405,2025-04-23 03:00:00,BTC-9MAY25-93000-P
0.4,1745380800000,ok,0.0385,0.038,0.0385,0.01525,0.038,2025-04-23 04:00:00,BTC-9MAY25-93000-P
0.1,1745384400000,ok,0.0375,0.0375,0.0375,0.00375,0.0375,2025-04-23 05:00:00,BTC-9MAY25-93000-P
0.0,1745388000000,ok,0.0375,0.0375,0.0375,0.0,0.0375,2025-04-23 06:00:00,BTC-9MAY25-93000-P
2.8,1745391600000,ok,0.037,0.037,0.037,0.1036,0.037,2025-04-23 07:00:00,BTC-9MAY25-93000-P
0.0,1745395200000,ok,0.037,0.037,0.037,0.0,0.037,2025-04-23 08:00:00,BTC-9MAY25-93000-P
