std_dt,pbntc_dt,base_ast,stk_tp_cd,exr_dt,atk_nm,stk_cd,bid_prc,stk_clprc,ask_prc,setl_prc,trd_amt,opn_int,base_clprc
20250423,20250422,S&P500,C,20250718,SPX250718C05245000,SPX US 07/18/25 C5245 Index,299.10,275.68,305.80,231.20000,3,0,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05250000,SPX US 07/18/25 C5250 Index,295.40,285.81,302.10,227.90000,9,786,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05255000,SPX US 07/18/25 C5255 Index,293.60,301.07,298.40,226.00000,0,10,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05260000,SPX US 07/18/25 C5260 Index,290.50,298.22,295.30,223.40000,0,10,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05265000,SPX US 07/18/25 C5265 Index,287.50,264.13,292.30,220.20000,1,241,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05270000,SPX US 07/18/25 C5270 Index,284.50,365.65,289.40,217.60000,0,190,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05275000,SPX US 07/18/25 C5275 Index,281.60,206.40,286.30,215.10000,0,481,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05280000,SPX US 07/18/25 C5280 Index,278.50,202.80,283.40,213.25000,0,133,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05285000,SPX US 07/18/25 C5285 Index,275.60,210.20,280.40,210.75000,0,8,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05290000,SPX US 07/18/25 C5290 Index,272.60,350.81,277.40,208.25000,0,69,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05295000,SPX US 07/18/25 C5295 Index,269.70,323.46,274.50,205.85000,0,17,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05300000,SPX US 07/18/25 C5300 Index,266.70,266.01,271.50,202.70000,1043,4062,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05305000,SPX US 07/18/25 C5305 Index,263.80,254.51,268.70,200.89999,0,3,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05310000,SPX US 07/18/25 C5310 Index,260.90,193.10,265.80,198.45000,0,83,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05315000,SPX US 07/18/25 C5315 Index,258.10,310.57,262.80,196.00000,0,13,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05320000,SPX US 07/18/25 C5320 Index,255.20,226.00,260.10,193.65000,11,52,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05325000,SPX US 07/18/25 C5325 Index,252.30,251.76,257.20,191.25000,10,2802,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05330000,SPX US 07/18/25 C5330 Index,249.50,227.00,254.30,188.15000,4,71,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05335000,SPX US 07/18/25 C5335 Index,246.70,299.00,251.40,185.80000,0,198,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05340000,SPX US 07/18/25 C5340 Index,243.80,338.85,248.70,184.10001,0,145,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05345000,SPX US 07/18/25 C5345 Index,241.00,219.80,245.80,181.85000,22,123,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05350000,SPX US 07/18/25 C5350 Index,238.30,241.34,243.10,178.75000,44,2786,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05355000,SPX US 07/18/25 C5355 Index,235.50,214.40,240.30,176.50000,11,51,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05360000,SPX US 07/18/25 C5360 Index,232.70,165.95,237.60,174.20000,0,48,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05365000,SPX US 07/18/25 C5365 Index,230.00,199.30,234.80,172.65000,0,15,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05370000,SPX US 07/18/25 C5370 Index,227.30,295.80,232.20,169.65000,0,14,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05375000,SPX US 07/18/25 C5375 Index,224.60,163.50,229.40,167.45000,0,643,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05380000,SPX US 07/18/25 C5380 Index,221.90,242.50,226.70,165.20000,0,14,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05385000,SPX US 07/18/25 C5385 Index,219.20,293.11,224.00,163.00000,0,27,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05390000,SPX US 07/18/25 C5390 Index,216.50,262.90,221.30,160.80000,0,12,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05395000,SPX US 07/18/25 C5395 Index,213.90,201.54,218.70,158.65000,12,7,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05400000,SPX US 07/18/25 C5400 Index,211.30,209.90,216.00,156.55000,373,8875,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05405000,SPX US 07/18/25 C5405 Index,208.70,187.90,213.50,154.30000,1,71,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05410000,SPX US 07/18/25 C5410 Index,206.10,207.03,210.80,152.25000,4,3,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05415000,SPX US 07/18/25 C5415 Index,203.50,205.00,208.20,150.14999,5,2,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05420000,SPX US 07/18/25 C5420 Index,200.90,298.38,205.60,148.00000,0,800,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05425000,SPX US 07/18/25 C5425 Index,198.40,141.90,203.10,145.95000,0,164,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05430000,SPX US 07/18/25 C5430 Index,195.80,205.10,200.60,143.85001,0,11,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05435000,SPX US 07/18/25 C5435 Index,193.30,189.64,198.10,141.80000,0,34,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05440000,SPX US 07/18/25 C5440 Index,190.80,184.35,195.50,139.80000,4,15,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05445000,SPX US 07/18/25 C5445 Index,188.30,131.78,193.00,137.70000,0,75,5287.76
20250423,20250422,S&P500,C,20250718,SPX250718C05450000,SPX US 07/18/25 C5450 Index,185.80,167.60,190.60,135.75000,4,2880,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04870000,SPX US 09/19/25 C4870 Index,633.70,691.10,642.50,538.50000,0,15,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04875000,SPX US 09/19/25 C4875 Index,629.90,1095.42,638.80,535.04999,0,23,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04880000,SPX US 09/19/25 C4880 Index,625.60,0.00,635.00,531.60001,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04890000,SPX US 09/19/25 C4890 Index,618.70,0.00,627.60,524.70001,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04900000,SPX US 09/19/25 C4900 Index,611.30,615.43,620.10,517.10001,14,2575,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04910000,SPX US 09/19/25 C4910 Index,602.80,0.00,612.70,510.14999,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04920000,SPX US 09/19/25 C4920 Index,595.40,0.00,605.30,503.55000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04925000,SPX US 09/19/25 C4925 Index,592.70,1094.25,601.70,499.95000,0,80,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04930000,SPX US 09/19/25 C4930 Index,589.00,0.00,598.00,496.55000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04940000,SPX US 09/19/25 C4940 Index,581.70,0.00,590.70,489.84999,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04950000,SPX US 09/19/25 C4950 Index,574.70,490.06,583.40,483.35001,0,264,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04960000,SPX US 09/19/25 C4960 Index,567.10,0.00,576.20,476.45000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04970000,SPX US 09/19/25 C4970 Index,559.90,427.83,569.00,469.95000,0,4,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04975000,SPX US 09/19/25 C4975 Index,555.30,426.10,565.40,466.55000,0,99,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04980000,SPX US 09/19/25 C4980 Index,552.70,0.00,561.80,463.80000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C04990000,SPX US 09/19/25 C4990 Index,545.50,418.08,554.70,457.35001,0,51,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05000000,SPX US 09/19/25 C5000 Index,539.00,541.85,547.60,450.85001,889,55336,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05010000,SPX US 09/19/25 C5010 Index,531.30,408.42,540.50,444.45000,0,1,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05020000,SPX US 09/19/25 C5020 Index,524.20,424.99,533.50,437.95000,0,1,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05025000,SPX US 09/19/25 C5025 Index,520.70,396.00,530.00,434.70000,0,1518,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05030000,SPX US 09/19/25 C5030 Index,517.20,0.00,526.50,431.55000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05040000,SPX US 09/19/25 C5040 Index,510.20,0.00,519.50,424.80000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05050000,SPX US 09/19/25 C5050 Index,504.00,603.11,512.60,418.79999,0,237,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05060000,SPX US 09/19/25 C5060 Index,495.70,427.02,505.70,412.30000,0,41,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05070000,SPX US 09/19/25 C5070 Index,489.50,395.24,498.80,405.95000,0,10,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05075000,SPX US 09/19/25 C5075 Index,486.10,384.65,495.40,402.84999,0,374,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05080000,SPX US 09/19/25 C5080 Index,482.60,0.00,492.00,399.80000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05090000,SPX US 09/19/25 C5090 Index,475.80,375.13,485.20,393.84999,0,42,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05100000,SPX US 09/19/25 C5100 Index,469.90,479.83,478.50,388.05000,19,1780,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05110000,SPX US 09/19/25 C5110 Index,462.40,368.26,471.80,381.55000,0,1,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05120000,SPX US 09/19/25 C5120 Index,455.70,0.00,465.10,375.55000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05125000,SPX US 09/19/25 C5125 Index,452.40,351.30,461.80,372.90001,0,158,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05130000,SPX US 09/19/25 C5130 Index,449.10,324.20,458.50,369.90001,0,5,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05140000,SPX US 09/19/25 C5140 Index,442.50,374.10,451.90,363.95000,0,92,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05150000,SPX US 09/19/25 C5150 Index,436.90,346.93,445.30,358.00000,0,200,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05160000,SPX US 09/19/25 C5160 Index,429.50,364.75,438.80,352.25000,0,10,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05170000,SPX US 09/19/25 C5170 Index,423.00,0.00,432.40,346.45000,0,0,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05175000,SPX US 09/19/25 C5175 Index,419.90,324.30,429.10,343.70000,0,547,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05180000,SPX US 09/19/25 C5180 Index,416.70,521.22,425.90,340.75000,0,1,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05190000,SPX US 09/19/25 C5190 Index,409.90,396.70,419.50,335.05000,0,5,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05200000,SPX US 09/19/25 C5200 Index,404.80,385.04,413.20,329.35001,27,3724,5287.76
20250423,20250422,S&P500,C,20250919,SPX250919C05210000,SPX US 09/19/25 C5210 Index,397.30,318.70,406.90,323.90001,0,4,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05025000,SPX US 12/19/25 C5025 Index,604.70,1072.07,616.30,518.85001,0,58,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05050000,SPX US 12/19/25 C5050 Index,587.90,682.27,599.00,503.50000,0,1746,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05075000,SPX US 12/19/25 C5075 Index,569.90,1283.17,582.70,487.90001,0,145,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05100000,SPX US 12/19/25 C5100 Index,554.90,546.73,565.60,472.85001,316,4988,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05125000,SPX US 12/19/25 C5125 Index,538.00,437.94,549.80,457.14999,0,409,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05150000,SPX US 12/19/25 C5150 Index,522.40,513.47,533.20,442.09999,2,1114,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05175000,SPX US 12/19/25 C5175 Index,505.80,425.31,517.70,427.79999,0,431,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05200000,SPX US 12/19/25 C5200 Index,490.50,479.06,501.40,413.75000,243,7375,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05225000,SPX US 12/19/25 C5225 Index,474.40,383.50,486.40,399.64999,0,84,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05250000,SPX US 12/19/25 C5250 Index,459.70,439.00,470.80,385.64999,800,2191,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05275000,SPX US 12/19/25 C5275 Index,443.80,379.82,455.90,372.00000,0,237,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05300000,SPX US 12/19/25 C5300 Index,429.70,431.00,440.70,358.50000,1042,6678,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05325000,SPX US 12/19/25 C5325 Index,415.60,331.30,423.10,345.40001,0,225,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05350000,SPX US 12/19/25 C5350 Index,401.10,386.66,408.60,332.25000,159,3003,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05375000,SPX US 12/19/25 C5375 Index,386.70,372.86,394.30,319.59999,7,214,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05400000,SPX US 12/19/25 C5400 Index,373.20,359.60,380.30,306.95000,760,8039,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05425000,SPX US 12/19/25 C5425 Index,359.70,360.46,366.40,294.80000,102,570,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05450000,SPX US 12/19/25 C5450 Index,347.80,349.00,352.80,282.64999,372,2034,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05475000,SPX US 12/19/25 C5475 Index,333.30,333.30,339.70,271.05000,107,964,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05500000,SPX US 12/19/25 C5500 Index,321.00,312.20,325.90,259.40001,713,16168,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05525000,SPX US 12/19/25 C5525 Index,307.00,307.60,313.50,248.20000,4,1259,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05550000,SPX US 12/19/25 C5550 Index,295.90,285.90,300.20,237.10001,22,10494,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05575000,SPX US 12/19/25 C5575 Index,282.10,222.20,288.50,226.40000,0,722,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05600000,SPX US 12/19/25 C5600 Index,270.80,262.85,276.00,215.95000,138,12643,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05625000,SPX US 12/19/25 C5625 Index,258.10,264.26,264.50,206.00000,25,243,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05650000,SPX US 12/19/25 C5650 Index,247.50,226.40,252.80,195.75000,30,3285,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05675000,SPX US 12/19/25 C5675 Index,235.10,228.34,241.60,186.35000,104,325,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05700000,SPX US 12/19/25 C5700 Index,225.00,228.00,229.70,176.35000,140,19353,5287.76
20250423,20250422,S&P500,C,20251219,SPX251219C05725000,SPX US 12/19/25 C5725 Index,213.60,207.30,219.60,167.15000,0,842,5287.76
