std_dt,pbntc_dt,base_ast,stk_tp_cd,exr_dt,atk_nm,stk_cd,bid_prc,stk_clprc,ask_prc,setl_prc,trd_amt,opn_int,base_clprc
20240219,20240216,S&P500,P,20250620,SPX250620P04200000,SPX US 06/20/25 P4200 Index,102.50,104.00,104.80,102.00000,0,5840,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04250000,SPX US 06/20/25 P4250 Index,108.50,120.96,110.90,107.89999,0,2964,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04300000,SPX US 06/20/25 P4300 Index,114.90,115.72,117.30,114.10000,8,3897,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04350000,SPX US 06/20/25 P4350 Index,121.60,125.00,124.00,120.65000,0,512,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04400000,SPX US 06/20/25 P4400 Index,128.70,130.82,131.20,127.59999,0,4379,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04450000,SPX US 06/20/25 P4450 Index,136.20,142.34,138.80,135.00000,0,963,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04500000,SPX US 06/20/25 P4500 Index,144.10,144.50,146.70,142.75000,401,12757,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04550000,SPX US 06/20/25 P4550 Index,152.60,148.90,155.20,151.00000,5,2626,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04600000,SPX US 06/20/25 P4600 Index,161.50,159.45,164.10,159.59999,0,3730,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04650000,SPX US 06/20/25 P4650 Index,170.90,177.40,173.60,168.79999,0,1175,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04700000,SPX US 06/20/25 P4700 Index,180.70,178.95,183.60,178.59999,2,2502,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04750000,SPX US 06/20/25 P4750 Index,190.80,190.10,194.50,188.90000,89,951,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04800000,SPX US 06/20/25 P4800 Index,202.30,199.00,205.30,199.70000,0,5087,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04850000,SPX US 06/20/25 P4850 Index,213.70,214.44,217.60,211.20000,0,767,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04900000,SPX US 06/20/25 P4900 Index,226.50,227.40,229.70,223.40000,0,1904,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P04950000,SPX US 06/20/25 P4950 Index,239.60,235.80,242.80,236.20000,0,904,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05000000,SPX US 06/20/25 P5000 Index,253.90,253.90,257.20,249.75000,184,3747,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05050000,SPX US 06/20/25 P5050 Index,268.20,261.08,271.50,264.05000,0,291,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05100000,SPX US 06/20/25 P5100 Index,283.60,273.94,287.00,279.15000,151,348,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05150000,SPX US 06/20/25 P5150 Index,300.00,291.11,303.40,295.19999,51,189,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05200000,SPX US 06/20/25 P5200 Index,316.80,319.19,321.20,312.10000,0,258,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05250000,SPX US 06/20/25 P5250 Index,335.00,337.00,339.50,329.94999,0,300,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05300000,SPX US 06/20/25 P5300 Index,354.40,366.86,358.90,348.90000,0,101,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05400000,SPX US 06/20/25 P5400 Index,396.40,389.52,401.10,390.25000,0,150,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05500000,SPX US 06/20/25 P5500 Index,443.20,443.00,448.20,436.05000,3,96,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05600000,SPX US 06/20/25 P5600 Index,495.70,531.76,499.80,486.94999,0,651,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P05800000,SPX US 06/20/25 P5800 Index,611.70,603.33,624.70,603.85000,0,846,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P06000000,SPX US 06/20/25 P6000 Index,750.90,0.00,768.10,743.50000,0,3,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P06200000,SPX US 06/20/25 P6200 Index,914.30,1024.47,920.50,899.85000,0,1,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P06400000,SPX US 06/20/25 P6400 Index,1081.40,0.00,1092.30,1068.20001,0,0,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P06600000,SPX US 06/20/25 P6600 Index,1250.70,0.00,1277.60,1244.50000,0,0,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P06800000,SPX US 06/20/25 P6800 Index,1431.10,0.00,1460.50,1428.04998,0,0,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P07000000,SPX US 06/20/25 P7000 Index,1614.10,0.00,1645.90,1612.60003,0,0,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P07200000,SPX US 06/20/25 P7200 Index,1798.20,0.00,1832.40,1798.54998,0,0,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P07400000,SPX US 06/20/25 P7400 Index,1983.10,0.00,2019.70,1985.29998,0,0,5005.57
20240219,20240216,S&P500,P,20250620,SPX250620P07600000,SPX US 06/20/25 P7600 Index,2168.30,2343.77,2207.30,2172.29992,0,3,5005.57
