std_dt,pbntc_dt,base_ast,stk_tp_cd,exr_dt,atk_nm,stk_cd,bid_prc,stk_clprc,ask_prc,setl_prc,trd_amt,opn_int,base_clprc
20240927,20240926,S&P500,P,20250221,SPX250221P03600000,SPX US 02/21/25 P3600 Index,9.70,9.78,10.20,10.40000,3,1210,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03625000,SPX US 02/21/25 P3625 Index,10.00,10.10,10.40,10.65000,1,210,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03650000,SPX US 02/21/25 P3650 Index,10.30,10.40,10.70,10.95000,2,365,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03675000,SPX US 02/21/25 P3675 Index,10.50,14.40,11.00,11.25000,0,212,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03700000,SPX US 02/21/25 P3700 Index,10.80,11.45,11.20,11.55000,0,1718,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03725000,SPX US 02/21/25 P3725 Index,11.00,13.86,11.50,11.85000,0,155,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03750000,SPX US 02/21/25 P3750 Index,11.30,12.80,11.80,12.10000,0,446,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03775000,SPX US 02/21/25 P3775 Index,11.60,14.05,12.10,12.45000,0,1811,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03800000,SPX US 02/21/25 P3800 Index,11.90,12.25,12.40,12.75000,80,2531,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03825000,SPX US 02/21/25 P3825 Index,12.30,13.20,12.70,13.10000,0,1106,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03850000,SPX US 02/21/25 P3850 Index,12.60,16.00,13.00,13.50000,0,1031,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03875000,SPX US 02/21/25 P3875 Index,12.90,14.40,13.40,13.80000,0,431,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03900000,SPX US 02/21/25 P3900 Index,13.20,14.45,13.70,14.20000,0,7380,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03925000,SPX US 02/21/25 P3925 Index,13.60,16.48,14.10,14.55000,0,1009,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03950000,SPX US 02/21/25 P3950 Index,14.00,14.54,14.40,14.95000,0,867,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P03975000,SPX US 02/21/25 P3975 Index,14.30,15.91,14.80,15.35000,0,1317,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P04000000,SPX US 02/21/25 P4000 Index,14.70,15.10,15.20,15.75000,2,9229,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P04025000,SPX US 02/21/25 P4025 Index,15.10,16.60,15.60,16.20000,0,1164,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P04050000,SPX US 02/21/25 P4050 Index,15.60,17.35,16.00,16.65000,0,379,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P04075000,SPX US 02/21/25 P4075 Index,16.00,17.09,16.50,17.10000,0,727,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05340000,SPX US 02/21/25 P5340 Index,85.00,84.00,86.00,91.15000,2,11,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05350000,SPX US 02/21/25 P5350 Index,86.40,85.60,87.30,92.50000,10,1656,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05360000,SPX US 02/21/25 P5360 Index,87.80,96.08,88.70,94.05000,0,44,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05370000,SPX US 02/21/25 P5370 Index,89.20,98.62,90.10,95.60000,0,62,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05375000,SPX US 02/21/25 P5375 Index,89.90,95.70,90.80,96.20000,0,1584,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05380000,SPX US 02/21/25 P5380 Index,90.60,122.20,91.50,97.05000,0,23,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05390000,SPX US 02/21/25 P5390 Index,92.00,97.42,93.00,98.60000,0,21,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05400000,SPX US 02/21/25 P5400 Index,93.50,96.07,94.40,100.05000,2,3500,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P05410000,SPX US 02/21/25 P5410 Index,95.00,96.69,95.90,101.75000,15,21,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P06225000,SPX US 02/21/25 P6225 Index,412.90,0.00,431.00,445.30000,0,0,5745.37
20240927,20240926,S&P500,P,20250221,SPX250221P06250000,SPX US 02/21/25 P6250 Index,432.20,0.00,450.30,465.29999,0,0,5745.37
