std_dt,pbntc_dt,base_ast,stk_tp_cd,exr_dt,atk_nm,stk_cd,bid_prc,stk_clprc,ask_prc,setl_prc,trd_amt,opn_int,base_clprc
20241223,20241220,S&P500,P,20251219,SPX251219P03300000,SPX US 12/19/25 P3300 Index,23.40,23.42,24.00,27.50000,7,7746,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03350000,SPX US 12/19/25 P3350 Index,24.50,32.94,25.20,28.55000,0,37,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03400000,SPX US 12/19/25 P3400 Index,25.50,25.30,26.10,29.85000,1,4321,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03450000,SPX US 12/19/25 P3450 Index,26.70,23.00,27.30,31.05000,0,320,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03500000,SPX US 12/19/25 P3500 Index,27.90,28.20,28.50,32.50000,15,10697,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03550000,SPX US 12/19/25 P3550 Index,29.10,29.80,29.70,33.95000,12,3251,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03600000,SPX US 12/19/25 P3600 Index,30.40,30.20,31.10,35.40000,4,10430,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03650000,SPX US 12/19/25 P3650 Index,31.80,26.14,32.50,36.95000,0,415,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03700000,SPX US 12/19/25 P3700 Index,33.30,33.70,33.90,38.50000,52,3714,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03750000,SPX US 12/19/25 P3750 Index,34.80,35.50,35.50,40.10000,3,285,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03800000,SPX US 12/19/25 P3800 Index,36.50,36.50,37.10,41.95000,17,10202,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03825000,SPX US 12/19/25 P3825 Index,37.20,38.30,38.20,42.85000,17,52,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03850000,SPX US 12/19/25 P3850 Index,38.20,38.40,38.80,43.95000,18,403,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03875000,SPX US 12/19/25 P3875 Index,38.90,38.60,39.90,44.70000,1,92,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03900000,SPX US 12/19/25 P3900 Index,40.00,45.33,40.60,45.80000,0,5305,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03925000,SPX US 12/19/25 P3925 Index,40.70,43.00,41.80,46.75000,0,30,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03950000,SPX US 12/19/25 P3950 Index,41.80,36.30,42.50,47.90000,0,435,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P03975000,SPX US 12/19/25 P3975 Index,42.60,42.00,43.70,48.85000,1,32,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04000000,SPX US 12/19/25 P4000 Index,43.80,44.00,44.40,50.05000,11,120034,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04025000,SPX US 12/19/25 P4025 Index,44.70,52.57,45.70,51.25000,0,84,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04050000,SPX US 12/19/25 P4050 Index,45.90,45.15,46.50,52.35000,1,2199,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04075000,SPX US 12/19/25 P4075 Index,47.00,47.77,47.60,53.60000,415,384,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04100000,SPX US 12/19/25 P4100 Index,48.10,48.30,48.70,54.75000,7,8808,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04125000,SPX US 12/19/25 P4125 Index,49.10,41.00,50.20,55.95000,0,57,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04150000,SPX US 12/19/25 P4150 Index,50.40,51.80,51.00,57.30000,493,13669,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04175000,SPX US 12/19/25 P4175 Index,51.40,52.61,52.50,58.55000,0,117,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04200000,SPX US 12/19/25 P4200 Index,52.90,52.20,53.40,59.95000,28,9473,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04225000,SPX US 12/19/25 P4225 Index,54.20,60.80,54.70,61.35000,0,203,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04250000,SPX US 12/19/25 P4250 Index,55.50,60.01,56.00,62.80000,0,1710,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04275000,SPX US 12/19/25 P4275 Index,56.80,55.50,57.40,64.15000,1,356,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04300000,SPX US 12/19/25 P4300 Index,58.20,58.52,58.70,65.65000,12,15710,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04325000,SPX US 12/19/25 P4325 Index,59.30,67.40,60.40,67.25000,0,79,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04350000,SPX US 12/19/25 P4350 Index,60.80,59.60,61.90,68.75000,1,2243,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04375000,SPX US 12/19/25 P4375 Index,62.20,60.90,63.40,70.35000,1,403,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04400000,SPX US 12/19/25 P4400 Index,63.80,62.50,64.90,72.00000,301,9220,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04425000,SPX US 12/19/25 P4425 Index,65.30,63.90,66.40,73.95000,1,528,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04450000,SPX US 12/19/25 P4450 Index,66.90,76.20,68.00,75.50000,0,518,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04475000,SPX US 12/19/25 P4475 Index,68.50,59.88,69.70,77.30000,0,204,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04500000,SPX US 12/19/25 P4500 Index,70.30,71.60,71.40,79.10000,2817,14555,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04525000,SPX US 12/19/25 P4525 Index,71.90,73.20,73.10,81.00000,13,20,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04550000,SPX US 12/19/25 P4550 Index,73.80,71.90,74.90,82.90000,3,2053,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04575000,SPX US 12/19/25 P4575 Index,75.30,73.83,76.90,84.95000,3,35,5930.85
20241223,20241220,S&P500,P,20251219,SPX251219P04600000,SPX US 12/19/25 P4600 Index,77.40,86.40,78.70,86.95000,0,7637,5930.85
20241223,20241220,S&P500,P,20260618,SPX260618P08400000,SPX US 06/18/26 P8400 Index,1935.00,2062.77,2015.00,2024.25000,0,1,5930.85
20241223,20241220,S&P500,P,20260618,SPX260618P08600000,SPX US 06/18/26 P8600 Index,2136.80,0.00,2216.80,2208.90002,0,0,5930.85
20241223,20241220,S&P500,P,20260618,SPX260618P08800000,SPX US 06/18/26 P8800 Index,2321.90,2307.74,2401.90,2394.25000,1,4,5930.85
20241223,20241220,S&P500,P,20260618,SPX260618P09000000,SPX US 06/18/26 P9000 Index,2508.30,2493.24,2588.30,2580.45007,1,4,5930.85
20241223,20241220,S&P500,P,20260618,SPX260618P09200000,SPX US 06/18/26 P9200 Index,2694.50,2566.31,2774.50,2766.50000,0,2,5930.85
20241223,20241220,S&P500,P,20260618,SPX260618P09400000,SPX US 06/18/26 P9400 Index,2880.90,2752.16,2960.90,2952.70007,0,2,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P00200000,SPX US 12/18/26 P200 Index,0.20,0.30,0.35,0.27500,0,3289,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P00400000,SPX US 12/18/26 P400 Index,,0.52,1.30,0.67500,0,1044,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P00600000,SPX US 12/18/26 P600 Index,0.55,1.45,1.90,1.35000,0,116,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P00800000,SPX US 12/18/26 P800 Index,1.40,1.72,2.70,2.22500,0,511,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P01000000,SPX US 12/18/26 P1000 Index,2.50,3.00,3.80,3.40000,0,1208,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P01200000,SPX US 12/18/26 P1200 Index,3.70,3.89,5.10,4.85000,0,29,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P01400000,SPX US 12/18/26 P1400 Index,5.40,5.41,6.80,6.70000,0,496,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P01600000,SPX US 12/18/26 P1600 Index,7.10,7.19,8.60,8.65000,0,242,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P01800000,SPX US 12/18/26 P1800 Index,9.10,8.14,10.70,11.00000,0,246,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P02000000,SPX US 12/18/26 P2000 Index,11.50,14.40,13.10,13.80000,0,3755,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P02200000,SPX US 12/18/26 P2200 Index,14.30,13.73,16.00,17.05000,0,739,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P02400000,SPX US 12/18/26 P2400 Index,17.70,16.93,19.50,20.80000,0,1626,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P02600000,SPX US 12/18/26 P2600 Index,21.60,19.69,23.50,25.25000,0,2921,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P02800000,SPX US 12/18/26 P2800 Index,26.40,27.50,28.30,30.45000,1,2943,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03000000,SPX US 12/18/26 P3000 Index,31.90,30.40,34.00,36.50000,0,3709,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03200000,SPX US 12/18/26 P3200 Index,38.60,36.67,40.70,43.55000,0,4255,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03300000,SPX US 12/18/26 P3300 Index,42.30,46.20,44.50,47.50000,1,1598,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03400000,SPX US 12/18/26 P3400 Index,46.40,40.30,48.70,51.90000,0,2335,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03500000,SPX US 12/18/26 P3500 Index,50.90,51.95,53.20,56.60000,149,4845,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03600000,SPX US 12/18/26 P3600 Index,55.80,50.77,58.10,61.75000,0,1520,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03700000,SPX US 12/18/26 P3700 Index,61.10,55.50,63.50,67.45000,0,2345,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03800000,SPX US 12/18/26 P3800 Index,66.80,62.16,69.30,73.50000,0,2399,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03850000,SPX US 12/18/26 P3850 Index,69.90,65.06,72.40,76.70000,0,122,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03900000,SPX US 12/18/26 P3900 Index,73.10,77.90,75.60,80.10000,2,1967,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P03950000,SPX US 12/18/26 P3950 Index,76.40,68.70,79.00,83.65000,0,179,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P04000000,SPX US 12/18/26 P4000 Index,79.90,81.38,82.50,87.30000,4,60364,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P04050000,SPX US 12/18/26 P4050 Index,83.50,78.06,86.20,91.10000,0,194,5930.85
20241223,20241220,S&P500,P,20261218,SPX261218P04100000,SPX US 12/18/26 P4100 Index,87.30,88.50,90.00,95.10000,7,3384,5930.85
