std_dt,pbntc_dt,base_ast,stk_tp_cd,exr_dt,atk_nm,stk_cd,bid_prc,stk_clprc,ask_prc,setl_prc,trd_amt,opn_int,base_clprc
20250311,20250310,S&P500,P,20250718,SPX250718P06410000,SPX US 07/18/25 P6410 Index,711.40,0.00,729.50,592.70001,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06420000,SPX US 07/18/25 P6420 Index,720.40,0.00,738.50,601.35001,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06425000,SPX US 07/18/25 P6425 Index,725.00,604.43,743.10,603.84998,0,4,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06430000,SPX US 07/18/25 P6430 Index,729.50,350.54,747.60,608.15002,0,22,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06440000,SPX US 07/18/25 P6440 Index,738.60,377.80,756.70,618.59998,0,170,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06450000,SPX US 07/18/25 P6450 Index,748.10,503.97,766.20,625.60001,0,43,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06460000,SPX US 07/18/25 P6460 Index,757.40,0.00,775.50,636.20001,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06475000,SPX US 07/18/25 P6475 Index,770.90,361.65,788.90,647.70001,0,16,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06500000,SPX US 07/18/25 P6500 Index,797.20,597.08,808.40,675.14999,0,7256,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06525000,SPX US 07/18/25 P6525 Index,817.60,0.00,835.60,696.85001,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06550000,SPX US 07/18/25 P6550 Index,841.50,493.00,859.60,717.45001,0,91,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06600000,SPX US 07/18/25 P6600 Index,889.10,434.04,907.20,763.20001,0,183,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06650000,SPX US 07/18/25 P6650 Index,937.10,617.37,955.20,811.14999,0,26,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06700000,SPX US 07/18/25 P6700 Index,985.40,601.75,1003.50,861.35001,0,2,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06750000,SPX US 07/18/25 P6750 Index,1034.00,0.00,1052.10,907.04999,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06800000,SPX US 07/18/25 P6800 Index,1082.80,686.48,1100.90,955.50000,0,263,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06850000,SPX US 07/18/25 P6850 Index,1131.60,0.00,1149.70,1004.14999,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06900000,SPX US 07/18/25 P6900 Index,1180.50,0.00,1198.60,1053.59998,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P06950000,SPX US 07/18/25 P6950 Index,1229.50,0.00,1247.60,1101.70001,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P07000000,SPX US 07/18/25 P7000 Index,1278.50,760.07,1296.60,1151.04999,0,60,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P07100000,SPX US 07/18/25 P7100 Index,1376.70,951.00,1394.80,1251.15002,0,1,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P07200000,SPX US 07/18/25 P7200 Index,1474.90,1311.31,1493.00,1347.15002,0,2,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P07400000,SPX US 07/18/25 P7400 Index,1671.20,1274.32,1689.20,1543.70001,0,1,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P07600000,SPX US 07/18/25 P7600 Index,1868.20,0.00,1886.30,1741.55005,0,0,5614.56
20250311,20250310,S&P500,P,20250718,SPX250718P07800000,SPX US 07/18/25 P7800 Index,2064.60,0.00,2082.60,1937.10004,0,0,5614.56
