std_dt,pbntc_dt,base_ast,stk_tp_cd,exr_dt,atk_nm,stk_cd,bid_prc,stk_clprc,ask_prc,setl_prc,trd_amt,opn_int,base_clprc
20240520,20240517,S&P500,P,20241018,SPX241018P05540000,SPX US 10/18/24 P5540 Index,228.80,251.48,231.50,233.90000,0,27,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05550000,SPX US 10/18/24 P5550 Index,234.60,237.50,237.30,239.55000,10,245,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05560000,SPX US 10/18/24 P5560 Index,240.40,0.00,243.10,245.50000,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05570000,SPX US 10/18/24 P5570 Index,246.40,0.00,249.10,251.50000,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05575000,SPX US 10/18/24 P5575 Index,249.50,511.20,252.20,254.44999,0,1,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05580000,SPX US 10/18/24 P5580 Index,252.50,275.80,255.20,257.50000,0,1,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05590000,SPX US 10/18/24 P5590 Index,258.70,253.78,261.40,263.70001,0,3,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05600000,SPX US 10/18/24 P5600 Index,265.00,327.43,267.80,270.00000,0,655,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05610000,SPX US 10/18/24 P5610 Index,271.40,0.00,274.20,276.44999,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05625000,SPX US 10/18/24 P5625 Index,281.30,373.92,284.00,286.25000,0,19,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05650000,SPX US 10/18/24 P5650 Index,298.20,293.04,300.90,303.15000,0,31,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05675000,SPX US 10/18/24 P5675 Index,311.70,0.00,321.80,320.59999,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05700000,SPX US 10/18/24 P5700 Index,329.90,589.41,339.90,338.59999,0,25,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05725000,SPX US 10/18/24 P5725 Index,345.90,490.10,364.00,357.30000,0,1,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05750000,SPX US 10/18/24 P5750 Index,368.00,475.70,377.70,376.54998,0,3,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05775000,SPX US 10/18/24 P5775 Index,388.60,0.00,397.30,396.14999,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05800000,SPX US 10/18/24 P5800 Index,408.30,418.11,417.40,416.30000,10,108,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05825000,SPX US 10/18/24 P5825 Index,429.10,0.00,438.10,437.00000,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05850000,SPX US 10/18/24 P5850 Index,450.30,0.00,459.20,458.14999,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05875000,SPX US 10/18/24 P5875 Index,472.10,0.00,480.60,479.64999,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05900000,SPX US 10/18/24 P5900 Index,492.90,682.22,503.70,501.50000,0,2,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P05950000,SPX US 10/18/24 P5950 Index,537.70,0.00,548.40,546.04998,0,0,5303.27
20240520,20240517,S&P500,P,20241018,SPX241018P06000000,SPX US 10/18/24 P6000 Index,583.40,825.40,594.20,591.75000,0,15,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03425000,SPX US 12/20/24 P3425 Index,10.20,10.39,10.50,10.50000,0,1561,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03450000,SPX US 12/20/24 P3450 Index,10.50,10.46,10.80,10.79999,0,6423,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03475000,SPX US 12/20/24 P3475 Index,10.70,10.79,11.10,11.04999,0,1619,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03500000,SPX US 12/20/24 P3500 Index,11.10,11.00,11.30,11.34999,52,22139,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03525000,SPX US 12/20/24 P3525 Index,11.30,18.30,11.60,11.65000,0,1836,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03550000,SPX US 12/20/24 P3550 Index,11.60,11.54,12.00,11.95000,0,4568,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03575000,SPX US 12/20/24 P3575 Index,11.90,13.15,12.30,12.29999,0,616,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03600000,SPX US 12/20/24 P3600 Index,12.30,12.20,12.60,12.65000,232,17594,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03625000,SPX US 12/20/24 P3625 Index,12.60,12.80,13.00,12.95000,0,639,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03650000,SPX US 12/20/24 P3650 Index,12.90,13.14,13.30,13.29999,0,8749,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03675000,SPX US 12/20/24 P3675 Index,13.30,13.15,13.60,13.65000,3,193,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03700000,SPX US 12/20/24 P3700 Index,13.60,13.87,14.00,14.00000,96,23043,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03725000,SPX US 12/20/24 P3725 Index,14.00,14.01,14.30,14.40000,0,1460,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03750000,SPX US 12/20/24 P3750 Index,14.50,14.20,14.70,14.79999,0,5483,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03775000,SPX US 12/20/24 P3775 Index,14.90,14.78,15.10,15.20000,6,2814,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03800000,SPX US 12/20/24 P3800 Index,15.30,15.08,15.50,15.59999,76,20914,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03825000,SPX US 12/20/24 P3825 Index,15.60,15.50,16.00,16.05000,12,905,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03850000,SPX US 12/20/24 P3850 Index,16.10,16.45,16.40,16.50000,0,4992,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03875000,SPX US 12/20/24 P3875 Index,16.50,16.73,16.80,17.00000,0,1138,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03900000,SPX US 12/20/24 P3900 Index,17.00,17.05,17.30,17.39999,215,21788,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03925000,SPX US 12/20/24 P3925 Index,17.50,17.30,17.80,17.89999,0,1756,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03950000,SPX US 12/20/24 P3950 Index,18.00,17.91,18.30,18.44999,0,5040,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P03975000,SPX US 12/20/24 P3975 Index,18.50,18.71,18.80,19.00000,180,1008,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P04000000,SPX US 12/20/24 P4000 Index,19.00,19.25,19.40,19.55000,363,164536,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P04025000,SPX US 12/20/24 P4025 Index,19.60,19.95,19.90,20.10000,36,912,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P04050000,SPX US 12/20/24 P4050 Index,20.20,20.23,20.50,20.69999,52,7627,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P04075000,SPX US 12/20/24 P4075 Index,20.80,20.90,21.10,21.35000,240,4004,5303.27
20240520,20240517,S&P500,P,20241220,SPX241220P04100000,SPX US 12/20/24 P4100 Index,21.50,21.60,21.70,22.00000,225,25836,5303.27
