Date,Call GEX,Put GEX,Net GEX,P/C GEX
2025-06-25,489.43K,-309.01K,180.42K,0.63
2025-06-24,444.91K,-308.35K,136.56K,0.69
2025-06-23,358.45K,-368.97K,-10.52K,1.03
2025-06-20,365.2K,-345.19K,20.02K,0.95
2025-06-18,659.07K,-646.62K,12.45K,0.98
2025-06-17,662.6K,-690.47K,-27.87K,1.04
2025-06-16,574.58K,-465.03K,109.55K,0.81
2025-06-13,556.8K,-534.30K,22.5K,0.96
2025-06-12,557.13K,-523.14K,33.98K,0.94
2025-06-11,571.17K,-425.97K,145.2K,0.75
2025-06-10,554.95K,-436.74K,118.21K,0.79
2025-06-09,534.76K,-442.75K,92.01K,0.83
2025-06-06,550.71K,-433.66K,117.05K,0.79
2025-06-05,530.78K,-425.63K,105.15K,0.8
2025-06-04,530.13K,-417.24K,112.88K,0.79
2025-06-03,505.43K,-431.49K,73.93K,0.85
2025-06-02,464.57K,-445.64K,18.93K,0.96
2025-05-30,477.52K,-466.23K,11.29K,0.98
2025-05-29,490.06K,-414.57K,75.49K,0.85
2025-05-28,501.06K,-418.92K,82.14K,0.84
2025-05-27,460.8K,-434.82K,25.99K,0.94
2025-05-23,403.29K,-486.30K,-83.00K,1.21
2025-05-22,429.37K,-474.81K,-45.44K,1.11
2025-05-21,446.32K,-439.01K,7.3K,0.98
2025-05-20,454.67K,-388.88K,65.79K,0.86
2025-05-19,428.85K,-402.33K,26.51K,0.94
2025-05-16,456.4K,-355.51K,100.89K,0.78
2025-05-15,514.16K,-450.86K,63.3K,0.88
2025-05-14,504.08K,-406.45K,97.62K,0.81
2025-05-13,500.84K,-403.48K,97.37K,0.81
2025-05-12,467.3K,-362.23K,105.07K,0.78
2025-05-09,429.37K,-413.76K,15.61K,0.96
2025-05-08,416.36K,-412.84K,3.52K,0.99
2025-05-07,389.2K,-428.33K,-39.14K,1.1
2025-05-06,375.76K,-434.19K,-58.43K,1.16
2025-05-05,389.22K,-408.20K,-18.98K,1.05
2025-05-02,420.85K,-376.14K,44.71K,0.89
2025-05-01,392.03K,-374.88K,17.14K,0.96
2025-04-30,353.6K,-435.13K,-81.53K,1.23
2025-04-29,369.15K,-413.95K,-44.80K,1.12
2025-04-28,372.94K,-394.87K,-21.93K,1.06
2025-04-25,385.59K,-420.28K,-34.69K,1.09
2025-04-24,336.15K,-420.64K,-84.50K,1.25
2025-04-23,339.06K,-391.07K,-52.01K,1.15
2025-04-22,268.88K,-424.74K,-155.86K,1.58
2025-04-21,246.64K,-422.13K,-175.48K,1.71
2025-04-17,273.63K,-413.09K,-139.46K,1.51
2025-04-16,303.09K,-471.18K,-168.09K,1.55
2025-04-15,329.47K,-446.16K,-116.68K,1.35
2025-04-14,322.72K,-425.65K,-102.94K,1.32
2025-04-11,260.84K,-435.05K,-174.21K,1.67
2025-04-10,292.62K,-442.07K,-149.46K,1.51
2025-04-09,187.08K,-425.06K,-237.98K,2.27
2025-04-08,230.48K,-434.37K,-203.89K,1.88
2025-04-07,158.09K,-422.35K,-264.26K,2.67
2025-04-04,185.83K,-475.31K,-289.48K,2.56
2025-04-03,225.63K,-472.87K,-247.24K,2.1
2025-04-02,278.73K,-451.09K,-172.36K,1.62
2025-04-01,281.14K,-445.69K,-164.55K,1.59
2025-03-31,228.43K,-507.86K,-279.43K,2.22
2025-03-28,299.6K,-493.29K,-193.69K,1.65
2025-03-27,310.49K,-490.01K,-179.52K,1.58
2025-03-26,378.17K,-414.44K,-36.27K,1.1
2025-03-25,373.92K,-394.58K,-20.66K,1.06
2025-03-24,330K,-389.44K,-59.44K,1.18
2025-03-21,248.12K,-450.39K,-202.27K,1.82
2025-03-20,402.08K,-606.85K,-204.77K,1.51
2025-03-19,357.45K,-551.91K,-194.46K,1.54
2025-03-18,352.9K,-547.01K,-194.11K,1.55
2025-03-17,337.61K,-528.73K,-191.12K,1.57
2025-03-14,320.15K,-537.62K,-217.47K,1.68
2025-03-13,268.74K,-512.64K,-243.90K,1.91
2025-03-12,281.93K,-498.75K,-216.82K,1.77
2025-03-11,249.92K,-501.24K,-251.32K,2.01
2025-03-10,268.68K,-492.89K,-224.21K,1.83
2025-03-07,301.14K,-523.12K,-221.98K,1.74
2025-03-06,279.67K,-525.62K,-245.94K,1.88
2025-03-05,322.94K,-522.22K,-199.28K,1.62
2025-03-04,305.92K,-525.26K,-219.34K,1.72
2025-03-03,433.44K,-478.61K,-45.16K,1.1
2025-02-28,322.82K,-538.05K,-215.23K,1.67
2025-02-27,436.5K,-503.22K,-66.72K,1.15
2025-02-26,389.94K,-512.02K,-122.08K,1.31
2025-02-25,375.31K,-518.59K,-143.28K,1.38
2025-02-24,404.42K,-503.42K,-99.00K,1.24
2025-02-21,448.74K,-415.66K,33.08K,0.93
2025-02-20,573.51K,-455.95K,117.56K,0.8
2025-02-19,539.88K,-452.35K,87.53K,0.84
2025-02-18,539.03K,-409.03K,130K,0.76
2025-02-14,567.6K,-403.66K,163.94K,0.71
2025-02-13,496.36K,-437.18K,59.18K,0.88
2025-02-12,394.87K,-555.46K,-160.59K,1.41
2025-02-11,446.44K,-466.57K,-20.13K,1.05
2025-02-10,449.56K,-432.82K,16.74K,0.96
2025-02-07,483.75K,-401.47K,82.28K,0.83
2025-02-06,475.05K,-397.04K,78.01K,0.84
2025-02-05,407.53K,-436.31K,-28.79K,1.07
2025-02-04,379.66K,-441.21K,-61.56K,1.16
2025-02-03,330K,-463.31K,-133.31K,1.4
2025-01-31,443.29K,-363.77K,79.52K,0.82
2025-01-30,419.56K,-385.68K,33.87K,0.92
2025-01-29,415.96K,-384.41K,31.56K,0.92
2025-01-28,392.11K,-409.99K,-17.88K,1.05
2025-01-27,343.36K,-446.07K,-102.71K,1.3
2025-01-24,580.68K,-402.92K,177.77K,0.69
2025-01-23,483.56K,-425.51K,58.05K,0.88
2025-01-22,482.75K,-314.53K,168.23K,0.65
2025-01-21,415.76K,-330.54K,85.22K,0.8
2025-01-17,401.63K,-343.28K,58.36K,0.85
2025-01-16,527.62K,-496.12K,31.51K,0.94
2025-01-15,454.76K,-461.88K,-7.12K,1.02
2025-01-14,371.91K,-461.27K,-89.36K,1.24
2025-01-13,273.51K,-493.65K,-220.14K,1.8
2025-01-10,313.19K,-479.13K,-165.95K,1.53
2025-01-08,392.35K,-512.52K,-120.16K,1.31
2025-01-07,465.39K,-411.25K,54.14K,0.88
2025-01-06,436.7K,-380.41K,56.29K,0.87
2025-01-03,342.51K,-425.92K,-83.41K,1.24
2025-01-02,338.28K,-417.79K,-79.51K,1.24
2024-12-31,366.67K,-453.01K,-86.34K,1.24
2024-12-30,308.06K,-466.45K,-158.39K,1.51
2024-12-27,449.76K,-453.85K,-4.09K,1.01
2024-12-26,522.24K,-411.87K,110.37K,0.79
2024-12-24,437.7K,-409.47K,28.24K,0.94
2024-12-23,341.03K,-425.24K,-84.22K,1.25
2024-12-20,240.66K,-453.82K,-213.16K,1.89
