,Open,High,Low,Close,Volume,Adj Close
1993-01-29,43.96875,43.96875,43.75,43.9375,1003200,24.38043975830078
1993-02-01,43.96875,44.25,43.96875,44.25,480500,24.553844451904297
1993-02-02,44.21875,44.375,44.125,44.34375,201300,24.605865478515625
1993-02-03,44.40625,44.84375,44.375,44.8125,529400,24.865978240966797
1993-02-04,44.96875,45.09375,44.46875,45.0,531500,24.970016479492188
1993-02-05,44.96875,45.0625,44.71875,44.96875,492100,24.95267105102539
1993-02-08,44.96875,45.125,44.90625,44.96875,596100,24.95267105102539
1993-02-09,44.8125,44.8125,44.5625,44.65625,122100,24.779264450073242
1993-02-10,44.65625,44.75,44.53125,44.71875,379600,24.813949584960938
1993-02-11,44.78125,45.125,44.78125,44.9375,19500,24.935331344604492
1993-02-12,44.875,44.875,44.59375,44.59375,42500,24.744579315185547
1993-02-16,44.46875,44.46875,43.40625,43.46875,374800,24.120342254638672
1993-02-17,43.46875,43.53125,43.28125,43.4375,210900,24.102991104125977
1993-02-18,43.9375,43.9375,42.8125,43.40625,378100,24.085657119750977
1993-02-19,43.40625,43.5625,43.34375,43.5625,34900,24.172367095947266
1993-02-22,43.6875,43.78125,43.5625,43.71875,513600,24.259075164794922
1993-02-23,43.84375,43.875,43.46875,43.6875,373700,24.241737365722656
1993-02-24,43.71875,44.25,43.71875,44.25,26300,24.553844451904297
1993-02-25,44.21875,44.375,44.125,44.34375,44500,24.605865478515625
1993-02-26,44.4375,44.4375,44.1875,44.40625,66200,24.64055061340332
1993-03-01,44.5625,44.5625,44.21875,44.28125,66500,24.571189880371094
1993-03-02,44.3125,44.9375,44.25,44.9375,182400,24.935331344604492
1993-03-03,45.0,45.15625,44.9375,45.125,280100,25.039371490478516
1993-03-04,45.1875,45.1875,44.875,44.875,89500,24.900650024414062
1993-03-05,44.9375,45.125,44.71875,44.75,40000,24.8312931060791
1993-03-08,44.84375,45.75,44.84375,45.75,50800,25.38617706298828
1993-03-09,45.65625,45.6875,45.5,45.59375,169300,25.299457550048828
1993-03-10,45.59375,45.6875,45.40625,45.6875,194400,25.35150146484375
1993-03-11,45.71875,45.84375,45.5,45.5625,70900,25.282121658325195
1993-03-12,45.1875,45.21875,44.8125,45.09375,643600,25.022018432617188
1993-03-15,45.0625,45.3125,45.0625,45.3125,310800,25.143421173095703
1993-03-16,45.3125,45.4375,45.3125,45.3125,30800,25.143421173095703
1993-03-17,45.25,45.25,44.96875,45.03125,21800,24.987356185913086
1993-03-18,45.21875,45.5,45.21875,45.3125,59300,25.143421173095703
1993-03-19,45.28125,45.28125,45.03125,45.03125,66900,25.10535430908203
1993-03-22,44.59375,44.875,44.5625,44.78125,183400,24.965974807739258
1993-03-23,44.90625,44.9375,44.8125,44.875,55200,25.018247604370117
1993-03-24,44.8125,45.0625,44.59375,44.875,37200,25.018247604370117
1993-03-25,44.90625,45.25,44.84375,45.15625,110100,25.175077438354492
1993-03-26,45.125,45.15625,44.875,44.90625,101500,25.03567123413086
1993-03-29,44.9375,45.3125,44.9375,45.09375,87100,25.140207290649414
1993-03-30,45.15625,45.21875,45.09375,45.21875,56000,25.209888458251953
1993-03-31,45.34375,45.46875,45.1875,45.1875,111600,25.192453384399414
1993-04-01,45.25,45.25,44.9375,45.03125,129500,25.10535430908203
1993-04-02,44.65625,44.65625,44.09375,44.09375,59400,24.58269500732422
1993-04-05,44.4375,44.4375,44.1875,44.3125,172200,24.704668045043945
1993-04-06,44.40625,44.40625,44.0625,44.1875,129700,24.63497543334961
1993-04-07,44.25,44.34375,44.15625,44.34375,28000,24.722082138061523
1993-04-08,44.53125,44.53125,44.09375,44.28125,180800,24.687223434448242
1993-04-12,44.71875,44.9375,44.65625,44.90625,348500,25.03567123413086
1993-04-13,44.875,45.15625,44.84375,45.0,146100,25.087932586669922
1993-04-14,45.03125,45.0625,44.90625,44.9375,119600,25.053089141845703
1993-04-15,44.90625,45.03125,44.75,44.9375,148600,25.053089141845703
1993-04-16,44.96875,45.03125,44.875,44.9375,47900,25.053089141845703
1993-04-19,44.9375,45.0625,44.71875,44.75,157000,24.94857406616211
1993-04-20,44.6875,44.75,44.25,44.53125,279500,24.826608657836914
1993-04-21,44.625,44.625,44.375,44.5,67900,24.809185028076172
1993-04-22,44.3125,44.6875,43.9375,43.9375,97700,24.495580673217773
1993-04-23,43.84375,43.96875,43.6875,43.75,106000,24.391048431396484
1993-04-26,43.78125,43.9375,43.28125,43.40625,62600,24.199403762817383
1993-04-27,43.34375,43.875,43.34375,43.875,156800,24.460731506347656
1993-04-28,43.8125,43.90625,43.71875,43.78125,85900,24.408485412597656
1993-04-29,43.875,43.96875,43.625,43.96875,85000,24.513004302978516
1993-04-30,44.125,44.28125,44.03125,44.03125,88500,24.547842025756836
1993-05-03,44.09375,44.3125,43.90625,44.3125,80500,24.704668045043945
1993-05-04,44.40625,44.625,44.34375,44.46875,149100,24.791763305664062
1993-05-05,44.46875,44.75,44.46875,44.59375,109000,24.861452102661133
1993-05-06,44.53125,44.5625,44.40625,44.4375,54700,24.77435874938965
1993-05-07,44.46875,44.46875,44.28125,44.34375,68000,24.722082138061523
1993-05-10,44.40625,44.6875,44.40625,44.4375,113900,24.77435874938965
1993-05-11,44.4375,44.625,44.3125,44.625,42600,24.878881454467773
1993-05-12,44.4375,44.59375,44.4375,44.5625,31000,24.84403419494629
1993-05-13,44.375,44.375,44.0,44.03125,129100,24.547842025756836
1993-05-14,44.03125,44.15625,43.96875,44.0,63500,24.53042984008789
1993-05-17,44.125,44.15625,43.9375,44.15625,34000,24.617555618286133
1993-05-18,44.1875,44.21875,43.96875,44.125,105200,24.60012435913086
1993-05-19,44.125,45.03125,43.84375,45.03125,50200,25.10535430908203
1993-05-20,45.03125,45.15625,44.9375,45.15625,98200,25.175077438354492
1993-05-21,45.1875,45.25,44.71875,44.75,221400,24.94857406616211
1993-05-24,44.84375,45.09375,44.84375,44.9375,30500,25.053089141845703
1993-05-25,45.125,45.125,45.03125,45.03125,191800,25.10535430908203
1993-05-26,45.15625,45.625,45.125,45.59375,102400,25.418954849243164
1993-05-27,45.65625,45.65625,45.375,45.4375,53800,25.33185577392578
1993-05-28,45.40625,45.40625,45.0,45.21875,79100,25.209888458251953
1993-06-01,45.375,45.8125,45.3125,45.65625,28300,25.453805923461914
1993-06-02,45.53125,45.75,45.34375,45.59375,20300,25.418954849243164
1993-06-03,45.5,45.5,45.34375,45.4375,21600,25.33185577392578
1993-06-04,45.3125,45.3125,45.09375,45.28125,32000,25.244733810424805
1993-06-07,45.375,45.375,45.125,45.125,121400,25.157621383666992
1993-06-08,45.0,45.0,44.71875,44.71875,104500,24.931123733520508
1993-06-09,44.875,45.0625,44.8125,44.875,43300,25.018247604370117
1993-06-10,44.84375,44.9375,44.75,44.90625,17900,25.03567123413086
1993-06-11,45.0625,45.15625,44.90625,45.09375,647400,25.140207290649414
1993-06-14,45.15625,45.1875,45.03125,45.03125,64200,25.10535430908203
1993-06-15,45.09375,45.125,44.9375,44.9375,142400,25.053089141845703
1993-06-16,44.9375,45.03125,44.8125,45.03125,330900,25.10535430908203
1993-06-17,45.125,45.1875,45.03125,45.1875,37400,25.192453384399414
1993-06-18,44.84375,44.84375,44.5,44.5,58500,24.98501205444336
1993-06-21,44.625,44.625,44.53125,44.59375,29300,25.03765106201172
1993-06-22,44.65625,44.65625,44.5625,44.625,137500,25.055204391479492
1993-06-23,44.625,44.625,44.21875,44.21875,227600,24.827106475830078
1993-06-24,44.34375,44.8125,44.34375,44.8125,243700,25.160463333129883
1993-06-25,44.78125,44.90625,44.75,44.78125,44800,25.142913818359375
1993-06-28,45.0,45.28125,44.9375,45.28125,439900,25.42364501953125
1993-06-29,45.21875,45.21875,45.0,45.0625,207500,25.300832748413086
1993-06-30,45.125,45.21875,45.0,45.0625,437600,25.300832748413086
1993-07-01,45.125,45.125,44.875,44.9375,605700,25.230642318725586
1993-07-02,44.78125,44.8125,44.53125,44.6875,285400,25.090293884277344
1993-07-06,44.625,44.75,44.15625,44.21875,246400,24.827106475830078
1993-07-07,44.1875,44.40625,44.1875,44.34375,343700,24.89728546142578
1993-07-08,44.375,44.9375,44.3125,44.84375,248200,25.178007125854492
1993-07-09,44.84375,44.96875,44.75,44.96875,378200,25.248193740844727
1993-07-12,44.90625,44.96875,44.84375,44.9375,373700,25.230642318725586
1993-07-13,44.96875,45.09375,44.65625,44.90625,389600,25.21310043334961
1993-07-14,44.9375,45.1875,44.90625,45.0625,617300,25.300832748413086
1993-07-15,45.03125,45.03125,44.78125,44.875,443800,25.195552825927734
1993-07-16,44.90625,44.9375,44.6875,44.75,216400,25.12538719177246
1993-07-19,44.75,44.75,44.59375,44.71875,188200,25.107812881469727
