instrument_name,expiration,strike,option_type,price,amount,direction,timestamp
BTC-23MAY25-120000-C,2025-05-23 08:00:00,120000.0,call,0.0008,2.0,sell,2025-05-06 13:05:30.092
BTC-23MAY25-120000-C,2025-05-23 08:00:00,120000.0,call,0.0008,0.3,sell,2025-05-06 15:24:02.387
BTC-23MAY25-120000-C,2025-05-23 08:00:00,120000.0,call,0.001,3.0,buy,2025-05-06 22:22:20.158
BTC-23MAY25-120000-C,2025-05-23 08:00:00,120000.0,call,0.0011,0.1,buy,2025-05-06 22:43:27.469
BTC-23MAY25-120000-C,2025-05-23 08:00:00,120000.0,call,0.0016,12.5,buy,2025-05-07 05:15:02.597
