instrument_name,expiration,strike,option_type,price,amount,direction,timestamp
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0325,0.2,sell,2025-05-06 04:07:44.578
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.036,0.1,sell,2025-05-06 12:33:49.877
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0365,0.1,buy,2025-05-06 13:46:07.498
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0241,0.2,sell,2025-05-06 22:03:40.509
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0135,0.1,sell,2025-05-07 00:05:38.006
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.014,0.2,buy,2025-05-07 00:05:38.292
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.012,0.3,sell,2025-05-07 00:22:16.424
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.012,0.3,sell,2025-05-07 00:22:32.998
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.012,0.3,sell,2025-05-07 00:22:34.430
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.012,0.1,sell,2025-05-07 00:22:37.441
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.013,0.2,sell,2025-05-07 00:37:06.105
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.013,9.8,sell,2025-05-07 00:37:06.902
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0115,0.1,buy,2025-05-07 01:00:18.680
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0115,0.3,buy,2025-05-07 01:01:51.600
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0115,0.4,buy,2025-05-07 01:06:18.833
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0115,0.4,buy,2025-05-07 01:06:18.833
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.012,0.1,buy,2025-05-07 01:17:52.323
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.011,1.0,sell,2025-05-07 01:26:09.740
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.011,1.0,buy,2025-05-07 01:26:09.742
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0115,0.1,sell,2025-05-07 01:34:02.683
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0115,0.3,buy,2025-05-07 01:41:20.341
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0115,0.3,buy,2025-05-07 01:55:28.398
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.012,0.3,buy,2025-05-07 02:01:57.958
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.014,0.2,buy,2025-05-07 02:33:45.979
BTC-9MAY25-97000-P,2025-05-09 08:00:00,97000.0,put,0.0155,0.3,buy,2025-05-07 03:02:06.702
