instrument_name,expiration,strike,option_type,price,amount,direction,timestamp
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,2.2,buy,2025-05-06 08:07:08.781
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0003,0.3,sell,2025-05-06 08:27:50.847
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0003,0.1,sell,2025-05-06 09:41:57.655
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0003,0.1,sell,2025-05-06 09:42:36.374
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,0.1,buy,2025-05-06 10:25:47.529
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,2.1,buy,2025-05-06 10:26:49.993
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0003,0.1,sell,2025-05-06 11:21:20.958
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,4.1,buy,2025-05-06 14:09:39.219
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0003,0.2,sell,2025-05-06 14:31:01.367
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0003,0.1,sell,2025-05-06 14:31:01.367
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0003,1.2,buy,2025-05-06 14:31:01.371
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,2.8,sell,2025-05-06 15:50:05.839
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,0.2,sell,2025-05-06 15:50:05.839
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,2.1,sell,2025-05-06 15:54:56.784
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,0.2,sell,2025-05-06 15:54:56.784
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0004,0.1,sell,2025-05-06 19:20:15.014
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0006,2.3,buy,2025-05-06 22:08:48.819
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0006,10.0,sell,2025-05-06 22:08:48.825
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0006,0.7,sell,2025-05-06 22:08:48.826
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0006,0.5,sell,2025-05-06 22:08:48.829
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0007,6.5,sell,2025-05-06 22:09:53.640
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0008,0.1,buy,2025-05-06 22:42:38.783
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0008,0.4,buy,2025-05-06 22:42:39.162
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0015,0.1,buy,2025-05-06 23:23:02.203
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0019,0.1,buy,2025-05-06 23:44:57.972
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0019,0.1,buy,2025-05-06 23:44:58.420
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0026,0.7,buy,2025-05-07 00:21:34.534
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0026,0.7,buy,2025-05-07 00:21:34.534
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0026,1.0,buy,2025-05-07 00:21:34.534
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0026,1.6,sell,2025-05-07 00:21:34.536
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.003,0.1,buy,2025-05-07 00:25:20.868
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0029,1.8,sell,2025-05-07 00:26:25.627
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0025,2.0,sell,2025-05-07 00:42:25.191
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0025,0.4,sell,2025-05-07 00:42:25.191
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0025,0.9,sell,2025-05-07 00:42:27.822
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0026,0.2,sell,2025-05-07 00:45:50.667
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.003,0.2,sell,2025-05-07 01:07:30.192
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.003,1.5,sell,2025-05-07 01:12:42.053
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0029,0.1,sell,2025-05-07 01:25:44.520
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0028,0.1,sell,2025-05-07 01:29:53.917
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0028,0.1,sell,2025-05-07 01:30:19.216
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0031,0.1,buy,2025-05-07 01:31:43.927
BTC-8MAY25-100000-C,2025-05-08 08:00:00,100000.0,call,0.0027,0.1,buy,2025-05-07 01:53:01.240
