instrument_name,expiration,strike,option_type,price,amount,direction,timestamp
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 07:57:03.802
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 07:57:11.071
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 07:57:14.473
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 07:57:21.382
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 07:58:13.482
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 07:59:23.000
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 07:59:29.476
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0055,0.1,buy,2025-05-06 09:57:13.035
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0055,0.1,buy,2025-05-06 09:57:38.187
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0055,0.1,buy,2025-05-06 09:59:07.393
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0055,0.1,buy,2025-05-06 10:02:43.922
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.005,0.1,sell,2025-05-06 10:48:29.757
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0049,0.1,sell,2025-05-06 13:05:16.754
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0049,0.1,sell,2025-05-06 13:39:06.136
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0055,0.1,buy,2025-05-06 14:01:46.651
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 17:31:20.245
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,1.4,buy,2025-05-06 17:31:20.838
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,buy,2025-05-06 17:31:20.838
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,sell,2025-05-06 18:24:07.445
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.006,0.1,sell,2025-05-06 18:24:07.445
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.01,0.4,buy,2025-05-07 00:07:30.652
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.01,0.3,buy,2025-05-07 00:07:31.055
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.01,9.3,buy,2025-05-07 00:08:10.636
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0105,10.0,buy,2025-05-07 00:21:03.413
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0105,0.2,buy,2025-05-07 00:21:09.705
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.011,2.0,buy,2025-05-07 00:24:00.633
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.011,8.5,buy,2025-05-07 00:25:09.451
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.011,0.7,buy,2025-05-07 00:25:09.451
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.011,0.8,sell,2025-05-07 00:26:24.496
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0105,0.1,sell,2025-05-07 00:28:24.542
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0105,1.7,sell,2025-05-07 00:28:28.221
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.0105,1.0,sell,2025-05-07 00:28:39.444
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.011,1.0,sell,2025-05-07 01:10:34.306
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.011,0.1,sell,2025-05-07 01:15:43.411
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.01,0.1,sell,2025-05-07 02:10:45.077
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.01,0.1,sell,2025-05-07 02:10:45.080
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.01,0.5,sell,2025-05-07 02:27:09.199
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.009,0.4,sell,2025-05-07 04:36:43.349
BTC-23MAY25-106000-C,2025-05-23 08:00:00,106000.0,call,0.009,0.8,sell,2025-05-07 05:37:09.424
